url,title,subTitle,productInfoMediaDetails,description,relatedProduct1,relatedProduct2,onDemand,rent,price,director,publisher
https://market.beta.formed.org/catalog/product/view/id/451/s/vd-lucyandfriendsthepope-en/,Lucy and Friends - The Pope,,Movie - 30 mins,"Join Lucy as she chats with her favorite teacher, Sr. Grace, during recess time. Today, Sr. Grace teaches Lucy all about the pope! Through stories and clips from history, you can learn with Lucy all about how Jesus made St. Peter the first pope, how the pope acts as a shepherd for God’s people, and learn about the life of our recent pope, Pope Benedict the XVI!,
        ,
  
        ,
  ","
                            Lucy and Friends - The Prodigal Son","
                            Lucy and Friends-Empty Yourself",,Rent: $1.99,Purchase: $5.99,"
      Publisher: HMTV - Fundacion EUK Mamie",    
,,,,,,,,,,,
https://market.beta.formed.org/au-understandingthelordoftherings-en.html,Understanding the Lord of the Rings as a Catholic Book,,Audio - 46 mins,"Joseph Pearce, a prolific writer best known for his outstanding literary biographies, reveals in detail how J.R.R. Tolkien’s famous work, , is a Catholic work at its core. Through linguistic clues and analysis of its characters, he explains the spiritual and theological depth of this masterpiece of English literature. With humor and clarity, Joseph shows the brilliance of Tolkien and offers all Christians a topic with which to engage others in conversation about our great Faith.,
        ,
  
        ,
  ","
                            From White Supremacist to Catholic Writer","
                            Beauty has Saved the World",,Purchase: $2.49,,"
      Published: Dec 3, 2017",Publisher: Augustine Institute
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/371/s/vd-1531-en/category/17/,1531,the story that is not finished yet...,Movie -  1 hr 16 mins,"Life is a miracle, God is a mystery, and nothing is coincidence. This movie, entitled ,, is a love story from Mexico to the world, which was written in an Aztec sacred stone and in Saint John's Apocalypse centuries before it happened. It presents the appearances of our Lady of Guadalupe in 1531 and how that story is not finished yet.,
        ,
  
        ,
  ","
                            The 13th Day","
                            Lourdes",,Rent: $4.99,Purchase: $12.99,"
      Publisher: Mediaquest",    
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/513/s/vd-crossingthegoaljesussaiddoyoul-en/,"Crossing the Goal:  Jesus said, ""Do you Love Me?""",,Movie - 24 mins,"
        ,
  
        ,
  ,The Risen Christ asked Peter three times: “Do you love me?” He requires an answer from us as well. The love which Jesus desires from us is an unconditional, all-consuming love, as is the love which Jesus gives us. The men of ,discuss the challenges of receiving God’s love as men, as well as extending our own love to Jesus. ,The Risen Christ asked Peter three times: “Do you love me?” He requires an answer from us as well. The love which Jesus desires from us is an unconditional, all-consuming love, as is the love which Jesus gives us. The men of ,discuss the challenges of receiving God’s love as men, as well as extending our own love to Jesus. ","
                            Crossing the Goal:  Jesus said, ""Do not be Anxious""","
                            Crossing the Goal:  Jesus said, ""The Kingdom""",,Rent: $2.99,Purchase: $4.99,"
      Publisher: EWTN",    
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?publisher=78,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/watch/movies/feature-films/saints/saints-of-history.html?is_available_on_demand=92,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?language=86,,,,,,,"
    ,
    ,
    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/375/s/vd-trappist-en/,Trappist,,Movie - 56 mins,"This documentary explores how the humility, contemplation, and simple life of monks fit into the modern world.,
        ,
  
        ,
  ",,,,Rent: $3.99,Purchase: $15.99,"
      Publisher: Vision Video",    
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?language=87,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?publisher=63,,,,,,,"
    ,
    ,
    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/test-category.html?publisher=76,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?is_available_on_demand=92,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/watch/movies/feature-films/saints/saints-of-history.html?is_available_on_demand=91,,,,,,,"
    ,
    ,
    ,
",,,,
,,,,,,,,,,,
